team,shootouts_played,shootouts_won,shootouts_lost,shootout_win_rate,penalty_strength
Algeria,0,0,0,0.0,0.0
Argentina,3,3,0,1.0,0.600
Australia,0,0,0,0.0,0.0
Belgium,0,0,0,0.0,0.0
Brazil,2,1,1,0.50,0.25
Colombia,1,0,1,0.0,0.0
Croatia,4,4,0,1.0,0.667
England,1,1,0,1.0,0.333
France,1,0,1,0.0,0.0
Germany,0,0,0,0.0,0.0
Ghana,1,0,1,0.0,0.0
Japan,2,0,2,0.0,0.0
Mexico,0,0,0,0.0,0.0
Morocco,1,1,0,1.0,0.333
Netherlands,3,1,2,0.33,0.200
Paraguay,1,1,0,1.0,0.333
Portugal,0,0,0,0.0,0.0
Senegal,0,0,0,0.0,0.0
South Korea,0,0,0,0.0,0.0
Spain,2,0,2,0.0,0.0
Sweden,0,0,0,0.0,0.0
Switzerland,1,0,0,0.0,0.0
United States,0,0,0,0.0,0.0
Uruguay,1,1,0,1.0,0.333
